筆期,號碼,,,
0022DAA101,142,,,
0022EAA101,124,,,
0023DAA101,99,,,
0023EAA101,107,,,
0024DAA101,109,,,
0024EAA101,120,,,
0025DAA101,122,,,
0025EAA101,160,,,
0025FAA102,9,,,
0026DAA101,125,,,
0026EAA101,160,,,
0026FAA102,2,,,
0027DAA101,117,,,
0027EAA101,108,,,
0028DAA101,82,,,
0028EAA101,105,,,
0029CAA101,87,,,
0029EAA101,67,,,
0030DAA101,96,,,
0030EAA101,84,,,
0031DAA101,138,,,
0031EAA101,72,,,
0032DAA101,118,,,
0032EAA101,153,,,
0033DAA101,107,,,
0033EAA101,127,,,
0034DAA101,124,,,
0034EAA101,106,,,
0035DAA101,148,,,
0035EAA101,131,,,
0036DAA101,160,,,
0036EAA102,12,,,
0036EAA101,128,,,
0037DAA101,160,,,
0037EAA102,3,,,
0037FAA102,109,,,
0038DAA101,114,,,
0038EAA101,66,,,
0039DAA101,72,,,
0039EAA101,87,,,
0040DAA101,89,,,
0040EAA101,78,,,
0041DAA101,62,,,
0041EAA101,79,,,
0042DAA101,131,,,
0042EAA101,157,,,
0043DAA101,123,,,
0043EAA101,118,,,
0044DAA101,118,,,
0044EAA101,117,,,
0045DAA101,136,,,
0045EAA101,157,,,
0046DAA101,156,,,
0046EAA101,160,,,
0047DAA101,145,,,
0047EAA101,157,,,
0048DAA101,149,,,
0048EAA101,118,,,
0049DAA101,72,,,
0049EAA101,76,,,
0050DAA101,84,,,
0050EAA101,76,,,
0051DAA101,75,,,
0051EAA101,99,,,
0052DAA101,160,,,
0052DAA102,29,,,
0052EAA101,112,,,
0053DAA101,160,,,
0053DAA102,21,,,
0053EAA101,112,,,
0054DAA101,125,,,
0054EAA101,107,,,
0055DAA101,136,,,
0055EAA101,138,,,
0056DAA101,153,,,
0056EAA101,136,,,
0057DAA101,163,,,
0057EAA101,135,,,
0058EAA101,130,,,
0059DAA101,126,,,
0059EAA101,118,,,
0060DAA101,73,,,
0060EAA101,70,,,
0061DAA101,85,,,
0061EAA101,79,,,
0062DAA101,75,,,
0062EAA101,109,,,
0063DAA101,72,,,
0063EAA101,95,,,
0064DAA101,106,,,
0064EAA101,86,,,
0065DAA101,136,,,
0065EAA101,154,,,
0066DAA101,145,,,
