筆期,號碼,,,
022A,142,,,
022B,124,,,
023A,99,,,
023B,107,,,
024A,109,,,
024B,120,,,
025A,122,,,
025B,169,,,
026A,125,,,
026B,162,,,
027A,117,,,
027B,108,,,
028A,82,,,
028B,105,,,
029A,87,,,
029B,67,,,
030A,96,,,
030B,84,,,
031A,138,,,
031B,72,,,
032A,118,,,
032B,153,,,
033A,107,,,
033B,127,,,
034A,124,,,
034B,106,,,
035A,148,,,
035B,131,,,
036A,172,,,
036B,128,,,
037A,163,,,
037B,109,,,
038A,114,,,
038B,66,,,
039A,72,,,
039B,87,,,
040A,89,,,
040B,78,,,
041A,62,,,
041B,79,,,
042A,131,,,
042B,157,,,
043A,123,,,
043B,118,,,
044A,118,,,
044B,117,,,
045A,136,,,
045B,157,,,
046A,156,,,
046B,160,,,
047A,145,,,
047B,157,,,
048A,149,,,
048B,118,,,
049A,72,,,
049B,76,,,
050A,84,,,
050B,76,,,
051A,75,,,
051B,99,,,
052A,189,,,
052B,112,,,
053A,181,,,
053B,112,,,
054A,125,,,
054B,107,,,
055A,136,,,
055B,138,,,
056A,153,,,
056B,136,,,
057A,163,,,
057B,135,,,
058B,130,,,
059A,126,,,
059B,118,,,
060A,73,,,
060B,70,,,
061A,85,,,
061B,79,,,
062A,75,,,
062B,109,,,
063A,72,,,
063B,95,,,
064A,106,,,
064B,86,,,
065A,136,,,
065B,154,,,
066A,145,,,
066B,140,,,
067A,153,,,
067B,149,,,
068A,154,,,
068B,138,,,
069A,141,,,
069B,119,,,
070A,87,,,
070B,63,,,
071A,77,,,
071B,56,,,
072A,64,,,
072B,60,,,
073A,51,,,
073B,111,,,
074A,95,,,
074B,98,,,
075A,79,,,
075B,70,,,
076A,99,,,
076B,95,,,
077A,124,,,
077B,142,,,
078A,142,,,
078B,155,,,
079A,140,,,
079B,101,,,
080A,65,,,
080B,63,,,
081A,69,,,
081B,80,,,
082A,49,,,
082B,43,,,
083A,82,,,
083B,73,,,
084A,59,,,
084B,85,,,
085A,113,,,
085B,83,,,
086A,91,,,
086B,94,,,
087A,142,,,
087B,143,,,
088A,155,,,
088B,146,,,
089A,147,,,
089B,144,,,
090A,88,,,
090B,53,,,
091A,61,,,
091B,60,,,
092A,45,,,
092B,72,,,
093A,49,,,
093B,79,,,
094A,52,,,
094B,99,,,
095A,96,,,
095B,116,,,
096A,106,,,
096B,89,,,
097A,102,,,
097B,102,,,
098A,151,,,
098B,152,,,
099A,149,,,
099B,141,,,
100A,154,,,
100B,75,,,
101A,80,,,
101B,65,,,
102A,66,,,
102B,65,,,
103A,52,,,
103B,57,,,
104A,86,,,
104B,97,,,
105A,22,,,
105B,89,,,
106A,63,,,
106B,81,,,
107A,96,,,
107B,118,,,
108A,115,,,
108B,83,,,
109A,163,,,
109B,155,,,
110A,139,,,
110B,85,,,
111A,83,,,
111B,41,,,
112A,83,,,
112B,70,,,
113A,65,,,
113B,54,,,
114A,60,,,
114B,111,,,
115A,54,,,
115B,59,,,
116A,87,,,
116B,64,,,
117A,94,,,
117B,114,,,
118A,109,,,
118B,100,,,
119A,117,,,
119B,147,,,
120A,143,,,
120B,143,,,
121A,98,,,
121B,74,,,
122A,62,,,
122B,75,,,
123A,106,,,
123B,57,,,
124A,49,,,
124B,60,,,
125A,89,,,
125B,72,,,
126A,129,,,
126B,102,,,
127A,153,,,
127B,146,,,
128A,80,,,
128B,64,,,
129A,61,,,
129B,99,,,
130A,153,,,
130B,130,,,
131A,87,,,
131B,43,,,
132A,46,,,
132B,31,,,
133A,30,,,
133B,41,,,
134A,35,,,
134B,31,,,
135A,36,,,
135B,67,,,
136A,36,,,
136B,38,,,
137A,66,,,
137B,51,,,
138A,57,,,
138B,71,,,
139A,47,,,
139B,62,,,
140A,71,,,
140B,154,,,
141A,105,,,
141B,47,,,
142A,39,,,
142B,40,,,
143A,41,,,
143B,40,,,
144A,54,,,
144B,30,,,
145A,35,,,
145B,33,,,
146A,54,,,
146B,27,,,
147A,69,,,
147B,67,,,
148A,54,,,
148B,50,,,
149A,72,,,
149B,84,,,
150A,115,,,
150B,134,,,
151A,149,,,
151B,129,,,
152A,93,,,
152B,51,,,
153A,45,,,
153B,37,,,
154A,35,,,
154B,43,,,
155A,46,,,
155B,31,,,
156A,52,,,
156B,35,,,
157A,72,,,
157B,63,,,
158A,68,,,
158B,46,,,
159A,59,,,
159B,88,,,
160A,89,,,
160B,104,,,
161A,155,,,
161B,148,,,
162A,138,,,
162B,128,,,
163A,112,,,
163B,53,,,
164A,45,,,
164B,31,,,
165A,47,,,
165B,27,,,
166A,50,,,
166B,51,,,
167A,87,,,
167B,32,,,
168A,61,,,
168B,70,,,
169A,58,,,
169B,45,,,
170A,57,,,
170B,165,,,
171A,126,,,
171B,118,,,
172A,58,,,
172B,53,,,
173A,60,,,
173B,52,,,
174A,35,,,
174B,41,,,
175A,41,,,
175B,46,,,
176A,32,,,
176B,47,,,
177A,79,,,
177B,32,,,
178A,54,,,
178B,41,,,
179A,43,,,
179B,81,,,
180A,166,,,
180B,117,,,
181A,152,,,
181B,111,,,
