序號,筆期,號碼,備註,期,號,筆試日期,
67,0022DAA101,65,0022A109,022A,65,,
47,0022DAA101,66,0022A057,022A,66,,
137,0022DAA101,67,0022A064,022A,67,,
190,0022DAA101,68,0022A056,022A,68,,
178,0022DAA101,69,0022A061,022A,69,,
121,0022DAA101,70,0022A047,022A,70,,
81,0022DAA101,71,0022A091,022A,71,,
181,0022DAA101,72,0022A092,022A,72,,
80,0022DAA101,73,0022A137,022A,73,,
84,0022DAA101,74,0022A138,022A,74,,
63,0022DAA101,75,0022A139,022A,75,,
88,0022DAA101,76,0022A042,022A,76,,
39,0022DAA101,77,0022A055,022A,77,,
130,0022DAA101,78,0022A030,022A,78,,
128,0022DAA101,79,0022A003,022A,79,,
54,0022DAA101,80,0022A002,022A,80,,
104,0022DAA101,81,0022A008,022A,81,,
94,0022DAA101,82,0022A016,022A,82,,
132,0022DAA101,83,0022A017,022A,83,,
57,0022DAA101,84,0022A106,022A,84,,
318,0022DAA101,85,0001A001補,022A,85,,
55,0022DAA101,86,0022A108,022A,86,,
98,0022DAA101,87,0022A107,022A,87,,
172,0022DAA101,88,0022A022,022A,88,,
101,0022DAA101,89,0022A062,022A,89,,
13,0022DAA101,90,0021B027補,022A,90,,
320,0022DAA101,91,0001A007補,022A,91,,
35,0022DAA101,92,0022A052,022A,92,,
99,0022DAA101,93,0022A067,022A,93,,
162,0022DAA101,94,0022A141,022A,94,,
161,0022DAA101,95,0022A140,022A,95,,
184,0022DAA101,96,0022A112,022A,96,,
188,0022DAA101,97,0022A116,022A,97,,
157,0022DAA101,98,0022A124,022A,98,,
79,0022DAA101,99,0022A040,022A,99,,
89,0022DAA101,100,0022A041,022A,100,,
36,0022DAA101,101,0022A032,022A,101,,
193,0022DAA101,102,0022A144,022A,102,,
147,0022DAA101,103,0022A117,022A,103,,
73,0022DAA101,104,0022A006,022A,104,,
96,0022DAA101,105,0022A013,022A,105,,
112,0022DAA101,106,0022A005,022A,106,,
158,0022DAA101,107,0022A004,022A,107,,
141,0022DAA101,108,0022A018,022A,108,,
56,0022DAA101,109,0022A111,022A,109,,
72,0022DAA101,110,0022A020,022A,110,,
148,0022DAA101,111,0022A102,022A,111,,
153,0022DAA101,112,0022A026,022A,112,,
103,0022DAA101,113,0022A019,022A,113,,
140,0022DAA101,114,0022A060,022A,114,,
134,0022DAA101,115,0022A058,022A,115,,
123,0022DAA101,116,0022A051,022A,116,,
177,0022DAA101,117,0022A125,022A,117,,
86,0022DAA101,118,0022A059,022A,118,,
176,0022DAA101,119,0022A113,022A,119,,
159,0022DAA101,120,0022A114,022A,120,,
167,0022DAA101,121,0022A115,022A,121,,
189,0022DAA101,122,0022A118,022A,122,,
165,0022DAA101,123,0022A119,022A,123,,
60,0022DAA101,124,0022A039,022A,124,,
49,0022DAA101,125,0022A035,022A,125,,
154,0022DAA101,126,0022A043,022A,126,,
44,0022DAA101,127,0022A034,022A,127,,
87,0022DAA101,128,0022A031,022A,128,,
106,0022DAA101,129,0022A024,022A,129,,
135,0022DAA101,130,0022A025,022A,130,,
59,0022DAA101,131,0022A012,022A,131,,
58,0022DAA101,132,0022A009,022A,132,,
100,0022DAA101,133,0022A098,022A,133,,
131,0022DAA101,134,0022A100,022A,134,,
46,0022DAA101,135,0022A103,022A,135,,
85,0022DAA101,136,0022A101,022A,136,,
74,0022DAA101,137,0022A063,022A,137,,
116,0022DAA101,138,0022A045,022A,138,,
185,0022DAA101,139,0022A120,022A,139,,
160,0022DAA101,140,0022A121,022A,140,,
182,0022DAA101,141,0022A122,022A,141,,
170,0022DAA101,142,0022A123,022A,142,,
292,0022EAA101,1,0022B004,022B,1,,
195,0022EAA101,2,0022B006,022B,2,,
238,0022EAA101,3,0022B025,022B,3,,
212,0022EAA101,4,0022B020,022B,4,,
196,0022EAA101,5,0022B013,022B,5,,
220,0022EAA101,6,0022B106,022B,6,,
336,0022EAA101,7,0022B105,022B,7,,
300,0022EAA101,8,0022B112,022B,8,,
286,0022EAA101,9,0022B104,022B,9,,
166,0022EAA101,10,0022A007補,022B,10,,
343,0022EAA101,11,0022B044,022B,11,,
305,0022EAA101,12,0022B055,022B,12,,
293,0022EAA101,13,0022B054,022B,13,,
183,0022EAA101,14,0022A071補,022B,14,,
82,0022EAA101,15,0022A079補,022B,15,,
184,0022EAA101,16,0022A112補,022B,16,,
163,0022EAA101,17,0022A072補,022B,17,,
224,0022EAA101,18,0022B108,022B,18,,
261,0022EAA101,19,0022B101,022B,19,,
285,0022EAA101,20,0022B109,022B,20,,
298,0022EAA101,21,0022B111,022B,21,,
432,0022EAA101,22,0001A018補,022B,22,,
273,0022EAA101,23,0022B102,022B,23,,
249,0022EAA101,24,0022B110,022B,24,,
52,0022EAA101,25,0022A066補,022B,25,,
304,0022EAA101,26,0022B099,022B,26,,
344,0022EAA101,27,0022B100,022B,27,,
240,0022EAA101,28,0022B047,022B,28,,
301,0022EAA101,29,0022B056,022B,29,,
287,0022EAA101,30,0022B053,022B,30,,
234,0022EAA101,31,0022B064,022B,31,,
283,0022EAA101,32,0022B077,022B,32,,
253,0022EAA101,33,0022B074,022B,33,,
295,0022EAA101,34,0022B084,022B,34,,
302,0022EAA101,35,0022B039,022B,35,,
297,0022EAA101,36,0022B103,022B,36,,
243,0022EAA101,37,0022B007,022B,37,,
232,0022EAA101,38,0022B117,022B,38,,
217,0022EAA101,39,0022B114,022B,39,,
333,0022EAA101,40,0022B028,022B,40,,
225,0022EAA101,41,0022B029,022B,41,,
303,0022EAA101,42,0022B038,022B,42,,
228,0022EAA101,43,0022B032,022B,43,,
227,0022EAA101,44,0022B040,022B,44,,
226,0022EAA101,45,0022B001,022B,45,,
262,0022EAA101,46,0022B016,022B,46,,
139,0022EAA101,47,0022B048,022B,47,,
168,0022EAA101,48,0022A001補,022B,48,,
216,0022EAA101,49,0022B123,022B,49,,
69,0022EAA101,50,0022A049補,022B,50,,
311,0022EAA101,51,0022B121,022B,51,,
207,0022EAA101,52,0022B083,022B,52,,
198,0022EAA101,53,0022B059,022B,53,,
259,0022EAA101,54,0022B076,022B,54,,
264,0022EAA101,55,0022B070,022B,55,,
244,0022EAA101,56,0022B063,022B,56,,
260,0022EAA101,57,0022B095,022B,57,,
257,0022EAA101,58,0022B094,022B,58,,
164,0022EAA101,59,0022A084補,022B,59,,
270,0022EAA101,60,0022B085,022B,60,,
239,0022EAA101,61,0022B115,022B,61,,
241,0022EAA101,62,0022B088,022B,62,,
201,0022EAA101,63,0022B042,022B,63,,
247,0022EAA101,64,0022B022,022B,64,,
268,0022EAA101,65,0022B019,022B,65,,
291,0022EAA101,66,0022B033,022B,66,,
265,0022EAA101,67,0022B027,022B,67,,
307,0022EAA101,68,0022B021,022B,68,,
230,0022EAA101,69,0022B012,022B,69,,
266,0022EAA101,70,0022B003,022B,70,,
206,0022EAA101,71,0022B120,022B,71,,
339,0022EAA101,72,0022B125,022B,72,,
263,0022EAA101,73,0022B072,022B,73,,
233,0022EAA101,74,0022B061,022B,74,,
294,0022EAA101,75,0022B081,022B,75,,
337,0022EAA101,76,0022B043,022B,76,,
211,0022EAA101,77,0022B050,022B,77,,
218,0022EAA101,78,0022B067,022B,78,,
299,0022EAA101,79,0022B098,022B,79,,
214,0022EAA101,80,0022B090,022B,80,,
289,0022EAA101,81,0022B097,022B,81,,
267,0022EAA101,82,0022B116,022B,82,,
223,0022EAA101,83,0022B093,022B,83,,
210,0022EAA101,84,0022B089,022B,84,,
231,0022EAA101,85,0022B122,022B,85,,
258,0022EAA101,86,0022B035,022B,86,,
246,0022EAA101,87,0022B046,022B,87,,
306,0022EAA101,88,0022B018,022B,88,,
221,0022EAA101,89,0022B024,022B,89,,
208,0022EAA101,90,0022B026,022B,90,,
200,0022EAA101,91,0022B030,022B,91,,
205,0022EAA101,92,0022B041,022B,92,,
255,0022EAA101,93,0022B031,022B,93,,
202,0022EAA101,94,0022B002,022B,94,,
242,0022EAA101,95,0022B017,022B,95,,
197,0022EAA101,96,0022B009,022B,96,,
274,0022EAA101,97,0022B014,022B,97,,
275,0022EAA101,98,0022B011,022B,98,,
209,0022EAA101,99,0022B060,022B,99,,
215,0022EAA101,100,0022B057,022B,100,,
222,0022EAA101,101,0022B065,022B,101,,
279,0022EAA101,102,0022B068,022B,102,,
271,0022EAA101,103,0022B062,022B,103,,
332,0022EAA101,104,0022B073,022B,104,,
204,0022EAA101,105,0022B049,022B,105,,
250,0022EAA101,106,0022B080,022B,106,,
338,0022EAA101,107,0022B071,022B,107,,
199,0022EAA101,108,0022B058,022B,108,,
310,0022EAA101,109,0022B082,022B,109,,
296,0022EAA101,110,0022B079,022B,110,,
288,0022EAA101,111,0022B066,022B,111,,
109,0022EAA101,112,0022B075,022B,112,,
251,0022EAA101,113,0022B045,022B,113,,
229,0022EAA101,114,0022B086,022B,114,,
342,0022EAA101,115,0022B113,022B,115,,
248,0022EAA101,116,0022B096,022B,116,,
245,0022EAA101,117,0022B087,022B,117,,
340,0022EAA101,118,0022B124,022B,118,,
276,0022EAA101,119,0022B091,022B,119,,
280,0022EAA101,120,0022B023,022B,120,,
278,0022EAA101,121,0022B037,022B,121,,
203,0022EAA101,122,0022B034,022B,122,,
269,0022EAA101,123,0022B015,022B,123,,
334,0022EAA101,124,0022B036,022B,124,,
390,0023DAA101,1,0023A066,023A,1,,
290,0023DAA101,2,0022B078補,023A,2,,
252,0023DAA101,3,0022B069補,023A,3,,
284,0023DAA101,4,0022B052補,023A,4,,
129,0023DAA101,5,0023A071,023A,5,,
362,0023DAA101,6,0023A075,023A,6,,
423,0023DAA101,7,0023A080,023A,7,,
380,0023DAA101,8,0023A078,023A,8,,
171,0023DAA101,9,0022A078補,023A,9,,
417,0023DAA101,10,0023A070,023A,10,,
410,0023DAA101,11,0023A069,023A,11,,
392,0023DAA101,12,0023A063,023A,12,,
203,0023DAA101,13,0022B034補,023A,13,,
389,0023DAA101,14,0023A076,023A,14,,
356,0023DAA101,15,0023A077,023A,15,,
348,0023DAA101,16,0023A072,023A,16,,
312,0023DAA101,17,0022B092補,023A,17,,
288,0023DAA101,18,0022B066補,023A,18,,
413,0023DAA101,19,0023A085,023A,19,,
375,0023DAA101,20,0023A025,023A,20,,
363,0023DAA101,21,0023A079,023A,21,,
272,0023DAA101,22,0022B008補,023A,22,,
213,0023DAA101,23,0022B005補,023A,23,,
256,0023DAA101,24,0022B010補,023A,24,,
406,0023DAA101,25,0023A060,023A,25,,
383,0023DAA101,26,0023A065,023A,26,,
430,0023DAA101,27,0023A057,023A,27,,
403,0023DAA101,28,0023A007,023A,28,,
355,0023DAA101,29,0023A073,023A,29,,
354,0023DAA101,30,0023A074,023A,30,,
426,0023DAA101,31,0023A050,023A,31,,
412,0023DAA101,32,0023A042,023A,32,,
371,0023DAA101,33,0023A084,023A,33,,
409,0023DAA101,34,0023A083,023A,34,,
377,0023DAA101,35,0023A081,023A,35,,
424,0023DAA101,36,0023A061,023A,36,,
385,0023DAA101,37,0023A064,023A,37,,
428,0023DAA101,38,0023A067,023A,38,,
381,0023DAA101,39,0023A005,023A,39,,
399,0023DAA101,40,0023A010,023A,40,,
346,0023DAA101,41,0023A013,023A,41,,
396,0023DAA101,42,0023A036,023A,42,,
411,0023DAA101,43,0023A030,023A,43,,
369,0023DAA101,44,0023A029,023A,44,,
358,0023DAA101,45,0023A024,023A,45,,
425,0023DAA101,46,0023A023,023A,46,,
323,0023DAA101,47,0001A009補,023A,47,,
422,0023DAA101,48,0023A028,023A,48,,
398,0023DAA101,49,0023A058,023A,49,,
414,0023DAA101,50,0023A055,023A,50,,
372,0023DAA101,51,0023A045,023A,51,,
395,0023DAA101,52,0023A056,023A,52,,
421,0023DAA101,53,0023A014,023A,53,,
282,0023DAA101,54,0022B051補,023A,54,,
309,0023DAA101,55,0022B107補,023A,55,,
122,0023DAA101,56,0022A069補,023A,56,,
384,0023DAA101,57,0023A020,023A,57,,
351,0023DAA101,58,0023A027,023A,58,,
407,0023DAA101,59,0023A021,023A,59,,
420,0023DAA101,60,0023A082,023A,60,,
93,0023DAA101,61,0022A015補,023A,61,,
378,0023DAA101,62,0023A053,023A,62,,
431,0023DAA101,63,0023A052,023A,63,,
416,0023DAA101,64,0023A054,023A,64,,
349,0023DAA101,65,0023A001,023A,65,,
368,0023DAA101,66,0023A002,023A,66,,
52,0023DAA101,67,0022A066補,023A,67,,
382,0023DAA101,68,0023A033,023A,68,,
419,0023DAA101,69,0023A015,023A,69,,
341,0023DAA101,70,0022B118補,023A,70,,
364,0023DAA101,71,0023A018,023A,71,,
397,0023DAA101,72,0023A044,023A,72,,
360,0023DAA101,73,0023A049,023A,73,,
373,0023DAA101,74,0023A048,023A,74,,
139,0023DAA101,75,0022B048補,023A,75,,
352,0023DAA101,76,0023A009,023A,76,,
350,0023DAA101,77,0023A003,023A,77,,
345,0023DAA101,78,0023A032,023A,78,,
353,0023DAA101,79,0023A034,023A,79,,
393,0023DAA101,80,0023A035,023A,80,,
361,0023DAA101,81,0023A016,023A,81,,
347,0023DAA101,82,0023A017,023A,82,,
402,0023DAA101,83,0023A022,023A,83,,
394,0023DAA101,84,0023A019,023A,84,,
374,0023DAA101,85,0023A043,023A,85,,
415,0023DAA101,86,0023A046,023A,86,,
376,0023DAA101,87,0023A047,023A,87,,
387,0023DAA101,88,0023A051,023A,88,,
