筆期,號碼,,,
0022AAA101,30,,,
0022AAA102,29,,,
0022AAA103,29,,,
0022AAA104,28,,,
0022AAA105,29,,,
0022BAA101,28,,,
0022BAA102,27,,,
0022BAA103,29,,,
0022BAA104,29,,,
0022BAA105,29,,,
0023AAA101,28,,,
0023AAA102,29,,,
0023AAA103,28,,,
0023AAA104,29,,,
0023BAA101,28,,,
0023BAA102,30,,,
0023BAA103,30,,,
0023BAA104,29,,,
0024AAA101,29,,,
0024AAA102,29,,,
0024AAA103,29,,,
0024AAA104,29,,,
0024BAA101,32,,,
0024BAA102,32,,,
0024BAA103,32,,,
0024BAA104,32,,,
0025AAA101,34,,,
0025AAA102,33,,,
0025AAA103,34,,,
0025AAA104,34,,,
0025BAA101,29,,,
0025BAA102,30,,,
0025BAA103,30,,,
0025BAA104,29,,,
0025BAA105,30,,,
0025BAA106,30,,,
0026AAA101,34,,,
0026AAA102,34,,,
0026AAA103,35,,,
0026AAA104,35,,,
0026BAA101,34,,,
0026BAA102,34,,,
0026BAA103,34,,,
0026BAA104,33,,,
0026BAA105,34,,,
0027AAA101,31,,,
0027AAA102,33,,,
0027AAA103,33,,,
0027AAA104,32,,,
0027BAA101,30,,,
0027BAA102,29,,,
0027BAA103,29,,,
0027BAA104,30,,,
0028AAA101,30,,,
0028AAA102,30,,,
0028AAA103,31,,,
0028BAA101,28,,,
0028BAA102,28,,,
0028BAA103,27,,,
0028BAA104,27,,,
0029AAA101,32,,,
0029AAA102,32,,,
0029AAA103,32,,,
0029BAA101,37,,,
0029BAA102,36,,,
0030AAA101,35,,,
0030AAA102,34,,,
0030AAA103,34,,,
0030BAA101,30,,,
0030BAA102,30,,,
0030BAA103,29,,,
0031AAA101,29,,,
0031AAA102,29,,,
0031AAA103,29,,,
0031AAA104,29,,,
0031AAA105,30,,,
0031BAA101,27,,,
0031BAA102,26,,,
0031BAA103,27,,,
0032AAA101,33,,,
0032AAA102,32,,,
0032AAA103,32,,,
0032AAA104,32,,,
0032BAA103,31,,,
0032BAA104,31,,,
0032BAA101,32,,,
0032BAA102,33,,,
0032BAA105,32,,,
0033AAA101,30,,,
0033AAA102,29,,,
0033AAA103,31,,,
0033AAA104,30,,,
0033BAA101,33,,,
0033BAA102,33,,,
0033BAA103,33,,,
0033BAA104,34,,,
0034AAA101,33,,,
0034AAA102,33,,,
0034AAA103,33,,,
0034AAA104,33,,,
0034BAA101,28,,,
0034BAA102,29,,,
0034BAA103,28,,,
0034BAA104,29,,,
0035AAA101,30,,,
0035AAA102,30,,,
0035AAA103,30,,,
0035AAA104,31,,,
0035AAA105,31,,,
0035BAA101,35,,,
0035BAA102,36,,,
0035BAA103,35,,,
0035BAA104,35,,,
0036AAA101,36,,,
0036AAA102,36,,,
0036AAA103,36,,,
0036AAA104,37,,,
0036AAA105,37,,,
0036BAA101,28,,,
0036BAA102,28,,,
0036BAA103,29,,,
0036BAA104,28,,,
0036BAA105,26,,,
0037AAA101,34,,,
0037AAA102,33,,,
0037AAA104,33,,,
0037AAA105,33,,,
0037AAA103,34,,,
0037BAA101,29,,,
0037BAA102,29,,,
0037BAA103,29,,,
0037BAA104,30,,,
0038AAA101,30,,,
0038AAA102,31,,,
0038AAA103,30,,,
0038AAA104,30,,,
0038BAA101,34,,,
0038BAA102,36,,,
0039AAA101,40,,,
0039AAA102,39,,,
0039BAA101,30,,,
0039BAA102,29,,,
0039BAA103,31,,,
0040AAA101,31,,,
0040AAA102,30,,,
0040AAA103,31,,,
0040BAA101,28,,,
0040BAA102,28,,,
0040BAA103,29,,,
0041AAA101,34,,,
0041AAA102,33,,,
0041BAA101,32,,,
0041BAA102,30,,,
0041BAA103,29,,,
0042AAA101,35,,,
0042AAA102,35,,,
0042AAA103,35,,,
0042AAA104,34,,,
0042BAA101,34,,,
0042BAA102,33,,,
0042BAA103,35,,,
0042BAA104,33,,,
0042BAA105,35,,,
0043AAA101,35,,,
0043AAA102,35,,,
0043AAA103,35,,,
0043AAA104,34,,,
0043BAA101,32,,,
0043BAA102,30,,,
0043BAA103,32,,,
0043BAA104,32,,,
0044AAA101,30,,,
0044AAA102,31,,,
0044AAA103,32,,,
0044AAA104,32,,,
0044BAA101,30,,,
0044BAA102,31,,,
0044BAA103,30,,,
0044BAA104,31,,,
0045AAA101,36,,,
0045AAA102,36,,,
0045AAA103,36,,,
0045AAA104,36,,,
0045BAA101,32,,,
0045BAA102,32,,,
0045BAA103,32,,,
0045BAA104,33,,,
0045BAA105,32,,,
0046AAA101,33,,,
0046AAA102,33,,,
0046AAA103,33,,,
0046AAA104,33,,,
0046AAA105,33,,,
0046BAA101,34,,,
0046BAA102,35,,,
0046BAA103,35,,,
0046BAA104,35,,,
0046BAA105,34,,,
0047AAA105,32,,,
0047AAA104,32,,,
0047AAA103,32,,,
0047AAA102,33,,,
0047AAA101,33,,,
0047BAA101,32,,,
0047BAA102,34,,,
0047BAA103,33,,,
0047BAA104,34,,,
0047BAA105,33,,,
0048AAA101,32,,,
0048AAA102,32,,,
0048AAA103,31,,,
0048AAA104,32,,,
0048AAA105,31,,,
0048BAA101,34,,,
0048BAA102,34,,,
0048BAA103,33,,,
0048BAA104,33,,,
0049AAA101,26,,,
0049AAA102,27,,,
0049AAA103,27,,,
0049BAA101,26,,,
0049BAA102,26,,,
0049BAA103,26,,,
0050AAA101,30,,,
0050AAA102,30,,,
0050AAA103,30,,,
0050BAA101,26,,,
0050BAA102,28,,,
0050BAA103,27,,,
0051AAA101,26,,,
0051AAA102,27,,,
0051AAA103,26,,,
0051BAA101,27,,,
0051BAA102,27,,,
0051BAA103,26,,,
0051BAA104,26,,,
0052AAA101,33,,,
0052AAA102,34,,,
0052AAA103,32,,,
0052AAA104,33,,,
0052AAA105,33,,,
0052AAA106,31,,,
0052BAA101,33,,,
0052BAA102,32,,,
0052BAA103,32,,,
0052BAA104,31,,,
0053AAA101,33,,,
0053AAA102,32,,,
0053AAA103,32,,,
0053AAA104,32,,,
0053AAA105,32,,,
0053AAA106,32,,,
0053BAA101,32,,,
0053BAA102,33,,,
0053BAA103,32,,,
0053BAA104,31,,,
0054AAA101,35,,,
0054AAA102,35,,,
0054AAA103,34,,,
0054AAA104,34,,,
0054BAA101,30,,,
0054BAA102,30,,,
0054BAA103,29,,,
0054BAA104,29,,,
0055AAA101,37,,,
0055AAA102,37,,,
0055AAA103,37,,,
0055AAA104,37,,,
0055BAA101,37,,,
0055BAA102,37,,,
0055BAA103,37,,,
0055BAA104,36,,,
0056AAA101,33,,,
0056AAA102,32,,,
0056AAA103,31,,,
0056AAA104,31,,,
0056AAA105,31,,,
0056BAA101,30,,,
0056BAA102,29,,,
0056BAA103,29,,,
0056BAA104,29,,,
0056BAA105,29,,,
0057AAA101,36,,,
0057AAA102,36,,,
0057AAA103,35,,,
0057AAA104,35,,,
0057AAA105,35,,,
0057BAA101,29,,,
0057BAA102,29,,,
0057BAA103,30,,,
0057BAA104,29,,,
0057BAA105,29,,,
0058BAA101,31,,,
0058BAA102,30,,,
0058BAA103,30,,,
0058BAA104,30,,,
0058BAA105,30,,,
0059AAA101,36,,,
0059AAA102,36,,,
0059AAA103,36,,,
0059AAA104,36,,,
0059BAA101,33,,,
0059BAA102,32,,,
0059BAA103,32,,,
0059BAA104,32,,,
0060AAA101,29,,,
0060AAA102,29,,,
0060AAA103,28,,,
0060BAA101,26,,,
0060BAA102,25,,,
0060BAA103,24,,,
0061AAA101,30,,,
0061AAA102,30,,,
0061AAA103,30,,,
0061BAA101,29,,,
0061BAA102,30,,,
0061BAA103,28,,,
0062AAA101,28,,,
0062AAA102,26,,,
0062AAA103,27,,,
0062BAA101,29,,,
0062BAA102,30,,,
0062BAA103,29,,,
0062BAA104,28,,,
0063AAA101,27,,,
0063AAA102,26,,,
0063AAA103,26,,,
0063BAA101,25,,,
0063BAA102,26,,,
0063BAA103,26,,,
0063BAA104,25,,,
0064AAA101,29,,,
0064AAA102,29,,,
0064AAA103,29,,,
0064AAA104,28,,,
0064BAA101,31,,,
0064BAA102,31,,,
0064BAA103,30,,,
0065AAA101,35,,,
0065AAA102,35,,,
0065AAA103,35,,,
0065AAA104,35,,,
0065BAA101,34,,,
0065BAA102,33,,,
0065BAA103,34,,,
0065BAA104,33,,,
0065BAA105,32,,,
0066AAA101,31,,,
0066AAA102,31,,,
0066AAA103,31,,,
0066AAA104,32,,,
0066AAA105,30,,,
0066BAA101,32,,,
0066BAA102,30,,,
0066BAA103,30,,,
0066BAA104,30,,,
0066BAA105,29,,,
0067AAA101,33,,,
0067AAA102,33,,,
0067AAA103,33,,,
0067AAA104,33,,,
0067AAA105,32,,,
0067BAA101,33,,,
0067BAA102,32,,,
0067BAA103,32,,,
0067BAA104,31,,,
0067BAA105,31,,,
0068AAA101,33,,,
0068AAA102,33,,,
0068AAA103,32,,,
0068AAA104,32,,,
0068AAA105,32,,,
0068BAA101,30,,,
0068BAA102,30,,,
0068BAA103,29,,,
0068BAA104,29,,,
0068BAA105,29,,,
0069AAA101,30,,,
0069AAA102,30,,,
0069AAA103,31,,,
0069AAA104,30,,,
0069AAA105,30,,,
0069BAA101,33,,,
0069BAA102,33,,,
0069BAA103,33,,,
0069BAA104,33,,,
0070AAA101,33,,,
0070AAA102,33,,,
0070AAA103,32,,,
0070BAA101,24,,,
0070BAA102,24,,,
0070BAA103,24,,,
0071AAA101,29,,,
0071AAA102,28,,,
0071AAA103,28,,,
0071BAA101,31,,,
0071BAA102,31,,,
0072AAA101,24,,,
0072AAA102,23,,,
0072AAA103,23,,,
0072BAA101,31,,,
0072BAA102,32,,,
0073AAA101,27,,,
0073AAA102,26,,,
0073BAA101,29,,,
0073BAA102,29,,,
0073BAA103,29,,,
0073BAA104,29,,,
0074AAA101,25,,,
0074AAA102,25,,,
0074AAA103,25,,,
0074AAA104,26,,,
0074BAA101,27,,,
0074BAA102,27,,,
0074BAA103,27,,,
0074BAA104,26,,,
0075AAA101,29,,,
0075AAA102,29,,,
0075AAA103,29,,,
0075BAA101,26,,,
0075BAA102,26,,,
0075BAA103,26,,,
0076AAA101,26,,,
0076AAA102,26,,,
0076AAA103,25,,,
0076AAA104,24,,,
0076BAA101,28,,,
0076BAA102,27,,,
0076BAA103,26,,,
0076BAA104,26,,,
0077AAA101,26,,,
0077AAA102,26,,,
0077AAA103,26,,,
0077AAA104,26,,,
0077AAA105,26,,,
0077BAA101,32,,,
0077BAA102,32,,,
0077BAA103,31,,,
0077BAA104,31,,,
0077BAA105,31,,,
0078AAA101,32,,,
0078AAA102,31,,,
0078AAA103,32,,,
0078AAA104,31,,,
0078AAA105,31,,,
0078BAA101,33,,,
0078BAA102,32,,,
0078BAA103,33,,,
0078BAA104,33,,,
0078BAA105,32,,,
0079AAA101,31,,,
0079AAA102,30,,,
0079AAA103,31,,,
0079AAA104,30,,,
0079AAA105,29,,,
0079BAA101,30,,,
0079BAA102,29,,,
0079BAA103,29,,,
0079BAA104,29,,,
0080AAA101,25,,,
0080AAA102,24,,,
0080AAA103,24,,,
0080BAA101,22,,,
0080BAA102,22,,,
0080BAA103,21,,,
0081AAA101,24,,,
0081AAA102,24,,,
0081AAA103,24,,,
0081BAA101,29,,,
0081BAA102,29,,,
0081BAA103,28,,,
0082AAA101,27,,,
0082AAA102,27,,,
0082BAA101,25,,,
0082BAA102,24,,,
0083AAA101,28,,,
0083AAA102,28,,,
0083AAA103,28,,,
0083BAA101,26,,,
0083BAA102,25,,,
0083BAA103,26,,,
0084AAA101,34,,,
0084AAA102,34,,,
0084BAA101,31,,,
0084BAA102,31,,,
0084BAA103,30,,,
0085AAA101,31,,,
0085AAA102,30,,,
0085AAA103,30,,,
0085AAA104,30,,,
0085BAA101,24,,,
0085BAA102,23,,,
0085BAA103,23,,,
0085BAA104,23,,,
0086AAA101,32,,,
0086AAA102,32,,,
0086AAA103,32,,,
0086BAA101,26,,,
0086BAA102,26,,,
0086BAA103,26,,,
0086BAA104,26,,,
0087AAA101,30,,,
0087AAA102,30,,,
0087AAA103,30,,,
0087AAA104,29,,,
0087AAA105,29,,,
0087BAA101,30,,,
0087BAA102,30,,,
0087BAA103,30,,,
0087BAA104,30,,,
0087BAA105,31,,,
0088AAA101,35,,,
0088AAA102,34,,,
0088AAA103,34,,,
0088AAA104,34,,,
0088AAA105,34,,,
0088BAA101,32,,,
0088BAA102,32,,,
0088BAA103,33,,,
0088BAA104,31,,,
0088BAA105,31,,,
0089AAA101,31,,,
0089AAA102,31,,,
0089AAA103,33,,,
0089AAA104,32,,,
0089AAA105,32,,,
0089BAA101,30,,,
0089BAA102,31,,,
0089BAA103,31,,,
0089BAA104,31,,,
0089BAA105,30,,,
0090AAA101,27,,,
0090AAA102,26,,,
0090AAA103,25,,,
0090AAA104,27,,,
0090BAA101,32,,,
0090BAA102,31,,,
0091AAA101,33,,,
0091AAA102,32,,,
0091BAA101,32,,,
0091BAA102,31,,,
0092AAA101,26,,,
0092AAA102,25,,,
0092BAA101,24,,,
0092BAA102,25,,,
0092BAA103,25,,,
0093AAA101,27,,,
0093AAA102,26,,,
0093BAA101,28,,,
0093BAA102,27,,,
0093BAA103,27,,,
