序號,路期,號碼,備註,路考日期,路考項目,
1144,0026AAA103,12,0026A020,,,
1159,0026AAA103,13,0026A019,,,
1057,0026AAA103,14,0026A021,,,
1234,0026AAA103,15,0026A024,,,
1096,0026AAA103,16,0026A026,,,
1149,0026AAA103,17,0026A030,,,
1106,0026AAA103,18,0026A032,,,
1127,0026AAA103,19,0026A034,,,
1292,0026AAA103,20,0026A038,,,
1061,0026AAA103,21,0026A037,,,
1210,0026AAA103,22,0026A042,,,
1133,0026AAA103,23,0026A085,,,
613,0026AAA103,24,0026A086,,,
1217,0026AAA103,25,0026A087,,,
1111,0026AAA103,26,0026A090,,,
1160,0026AAA103,27,0026A096,,,
1124,0026AAA103,28,0026A098,,,
1161,0026AAA103,29,0026A091,,,
1147,0026AAA103,30,0026A093,,,
1097,0026AAA103,31,0026A094,,,
1064,0026AAA103,32,0026A095,,,
1209,0026AAA103,33,0026A099,,,
1239,0026AAA103,34,0026A100,,,
1117,0026AAA103,35,0026A107,,,
1139,0026AAA104,1,0026A061,,,
1138,0026AAA104,2,0026A064,,,
719,0026AAA104,3,0026A068,,,
939,0026AAA104,4,0025B099補,,,
910,0026AAA104,5,0025B090補,,,
869,0026AAA104,6,0025B097補,,,
1073,0026AAA104,7,0025B109補,,,
937,0026AAA104,8,0025B130補,,,
966,0026AAA104,9,0025B132補,,,
1068,0026AAA104,10,0026A104,,,
1190,0026AAA104,11,0026A103,,,
1118,0026AAA104,12,0026A048,,,
1112,0026AAA104,13,0026A055,,,
1086,0026AAA104,14,0026A046,,,
1148,0026AAA104,15,0026A049,,,
1192,0026AAA104,16,0026A063,,,
1242,0026AAA104,17,0026A058,,,
1060,0026AAA104,18,0026A065,,,
1101,0026AAA104,19,0026A045,,,
1132,0026AAA104,20,0026A056,,,
1201,0026AAA104,21,0026A051,,,
1088,0026AAA104,22,0026A057,,,
1158,0026AAA104,23,0026A054,,,
1136,0026AAA104,24,0026A050,,,
697,0026AAA104,25,0024B099補,,,
1197,0026AAA104,26,0026A067,,,
1237,0026AAA104,27,0026A059,,,
1212,0026AAA104,28,0026A060,,,
1122,0026AAA104,29,0026A044,,,
1249,0026AAA104,30,0026A066,,,
1208,0026AAA104,31,0026A043,,,
1142,0026AAA104,32,0026A047,,,
1062,0026AAA104,33,0026A052,,,
1128,0026AAA104,34,0026A070,,,
836,0025AAA104,29,0025A073,,,
851,0025AAA104,30,0025A074,,,
894,0025AAA104,31,0025A079,,,
837,0025AAA104,32,0025A081,,,
847,0025AAA104,33,0025A083,,,
805,0025AAA104,34,0025A084,,,
721,0025AAA101,34,0024B008補,,,
666,0025AAA103,34,0024B050補,,,
929,0025BAA101,1,0025B152,,,
1017,0025BAA101,2,0025B141,,,
1325,0025BAA101,3,0001A027補,,,
1103,0025BAA101,4,0025B142,,,
867,0025BAA101,5,0025A023補,,,
822,0025BAA101,6,0025A092補,,,
1000,0025BAA101,7,0025B147,,,
973,0025BAA101,8,0025B064,,,
972,0025BAA101,9,0025B061,,,
976,0025BAA101,10,0025B068,,,
989,0025BAA101,11,0025B076,,,
911,0025BAA101,12,0025B074,,,
985,0025BAA101,13,0025B148,,,
928,0025BAA101,14,0025B062,,,
905,0025BAA101,15,0025B071,,,
1107,0025BAA101,16,0025B079,,,
917,0025BAA101,17,0025B058,,,
963,0025BAA101,18,0025B063,,,
1053,0025BAA101,19,0025B060,,,
995,0025BAA101,20,0025B067,,,
1066,0025BAA101,21,0025B065,,,
1072,0025BAA101,22,0025B073,,,
901,0025BAA101,23,0025B057,,,
1019,0025BAA101,24,0025B077,,,
948,0025BAA101,25,0025B075,,,
1105,0025BAA101,26,0025B069,,,
897,0025BAA101,27,0025B059,,,
921,0025BAA101,28,0025B070,,,
968,0025BAA101,29,0025B072,,,
1046,0025BAA102,1,0025B150,,,
913,0025BAA102,2,0025B143,,,
997,0025BAA102,3,0025B144,,,
829,0025BAA102,4,0025A045補,,,
878,0025BAA102,5,0025B032,,,
984,0025BAA102,6,0025B029,,,
1036,0025BAA102,7,0025B042,,,
992,0025BAA102,8,0025B036,,,
955,0025BAA102,9,0025B043,,,
934,0025BAA102,10,0025B047,,,
961,0025BAA102,11,0025B048,,,
980,0025BAA102,12,0025B049,,,
954,0025BAA102,13,0025B052,,,
1048,0025BAA102,14,0025B078,,,
823,0025BAA102,15,0025A103補,,,
962,0025BAA102,16,0025B035,,,
1038,0025BAA102,17,0025B066,,,
978,0025BAA102,18,0025B050,,,
979,0025BAA102,19,0025B033,,,
943,0025BAA102,20,0025B034,,,
1016,0025BAA102,21,0025B037,,,
1007,0025BAA102,22,0025B039,,,
1008,0025BAA102,23,0025B038,,,
906,0025BAA102,24,0025B031,,,
1050,0025BAA102,25,0025B051,,,
923,0025BAA102,26,0025B045,,,
1026,0025BAA102,27,0025B053,,,
1024,0025BAA102,28,0025B046,,,
1035,0025BAA102,29,0025B056,,,
944,0025BAA102,30,0025B083,,,
1049,0025BAA103,1,0025B149,,,
1065,0025BAA103,2,0025B153,,,
889,0025BAA103,3,0025A054補,,,
1043,0025BAA103,4,0025B134,,,
996,0025BAA103,5,0025B131,,,
1025,0025BAA103,6,0025B128,,,
1018,0025BAA103,7,0025B127,,,
930,0025BAA103,8,0025B126,,,
965,0025BAA103,9,0025B125,,,
991,0025BAA103,10,0025B122,,,
1001,0025BAA103,11,0025B121,,,
1079,0025BAA103,12,0025B118,,,
1023,0025BAA103,13,0025B114,,,
999,0025BAA103,14,0025B133,,,
1021,0025BAA103,15,0025B044,,,
904,0025BAA103,16,0025B115,,,
974,0025BAA103,17,0025B113,,,
902,0025BAA103,18,0025B116,,,
903,0025BAA103,19,0025B117,,,
935,0025BAA103,20,0025B119,,,
953,0025BAA103,21,0025B120,,,
1013,0025BAA103,22,0025B123,,,
983,0025BAA103,23,0025B124,,,
