筆期,號碼,,,
0139AAA101,16,,,
0139AAA102,16,,,
0139AAA103,15,,,
0139AAA104,15,,,
0139BAA101,16,,,
0139BAA102,15,,,
0139BAA103,15,,,
0139BAA104,15,,,
0139BAA105,15,,,
0140AAA101,18,,,
0140AAA102,18,,,
0140AAA103,19,,,
0140AAA104,18,,,
0140AAA105,18,,,
0140BAA101,18,,,
0140BAA102,19,,,
0140BAA103,19,,,
0140BAA104,18,,,
0140BAA105,18,,,
0140BAA106,15,,,
0140BAA107,15,,,
0140BAA108,15,,,
0140BAA109,14,,,
0140BAA110,16,,,
0141AAA101,15,,,
0141AAA102,16,,,
0141AAA103,15,,,
0141AAA104,15,,,
0141AAA105,15,,,
0141AAA106,13,,,
0141AAA107,14,,,
0141AAA108,14,,,
0141AAA109,13,,,
0141BAA101,17,,,
0141BAA102,17,,,
0141BAA103,17,,,
0141BAA104,17,,,
0142BAA101,16,,,
0142BAA102,16,,,
0142BAA103,16,,,
0143AAA101,14,,,
0143AAA102,14,,,
0143AAA103,14,,,
0143AAA104,14,,,
0143BAA101,13,,,
0143BAA102,13,,,
0143BAA103,13,,,
0143BAA104,13,,,
0144AAA101,16,,,
0144AAA102,16,,,
0144AAA103,16,,,
0144AAA104,17,,,
0144BAA101,15,,,
0144BAA102,15,,,
0144BAA103,15,,,
0145AAA101,15,,,
0145AAA102,16,,,
0145AAA103,15,,,
0145BAA101,16,,,
0145BAA102,16,,,
0145BAA103,17,,,
0146AAA101,14,,,
0146AAA102,16,,,
0146AAA103,15,,,
0146AAA104,14,,,
0146BAA101,14,,,
0146BAA102,14,,,
0146BAA103,13,,,
0147AAA101,18,,,
0147AAA102,18,,,
0147AAA103,19,,,
0147AAA104,18,,,
0147BAA101,16,,,
0147BAA102,16,,,
0147BAA103,15,,,
0147BAA104,16,,,
0147BAA105,16,,,
0148AAA101,17,,,
0148AAA102,17,,,
0148AAA103,17,,,
0148AAA104,18,,,
0148BAA101,15,,,
0148BAA102,15,,,
0148BAA103,15,,,
0148BAA104,14,,,
0149AAA101,17,,,
0149AAA102,16,,,
0149AAA103,17,,,
0149AAA104,17,,,
0149AAA105,17,,,
0149BAA101,18,,,
0149BAA102,18,,,
0149BAA103,19,,,
0149BAA104,19,,,
0149BAA105,19,,,
0149BAA106,19,,,
