序號,路期,號碼,備註,路考日期,路考項目,
23524,0139AAA101,1,0138B041補,7/5/18 0:00,1,
23515,0139AAA101,2,0138B006補,7/5/18 0:00,2,
23290,0139AAA101,3,0137A030補,7/5/18 0:00,2,
23588,0139AAA101,4,0139A025,7/5/18 0:00,2,
23555,0139AAA101,5,0139A026,7/5/18 0:00,2,
23563,0139AAA101,6,0139A033,7/5/18 0:00,2,
23587,0139AAA101,7,0139A012,7/5/18 0:00,2,
23559,0139AAA101,8,0139A011,7/5/18 0:00,2,
23576,0139AAA101,9,0139A005,7/5/18 0:00,2,
23601,0139AAA101,10,0139A007,7/5/18 0:00,2,
23553,0139AAA101,11,0139A002,7/5/18 0:00,2,
23579,0139AAA101,12,0139A013,7/5/18 0:00,2,
23519,0139AAA101,13,0138B018補,7/5/18 0:00,2,
23560,0139AAA101,14,0139A003,7/5/18 0:00,2,
23569,0139AAA101,15,0139A009,7/5/18 0:00,2,
23460,0139AAA101,16,0138A010補,7/5/18 0:00,2,
23482,0139AAA102,1,0138A032補,7/5/18 0:00,1,
23520,0139AAA102,2,0138B061補,7/5/18 0:00,2,
23539,0139AAA102,3,0138B028補,7/5/18 0:00,2,
19769,0139AAA102,4,0137B016補,7/5/18 0:00,2,
23488,0139AAA102,5,0138B058補,7/5/18 0:00,2,
23575,0139AAA102,6,0139A038,7/5/18 0:00,2,
23586,0139AAA102,7,0139A039,7/5/18 0:00,2,
23562,0139AAA102,8,0139A042,7/5/18 0:00,2,
23606,0139AAA102,9,0139A043,7/5/18 0:00,2,
23554,0139AAA102,10,0139A035,7/5/18 0:00,2,
23552,0139AAA102,11,0139A046,7/5/18 0:00,2,
23596,0139AAA102,12,0139A036,7/5/18 0:00,2,
23516,0139AAA102,13,0138B060補,7/5/18 0:00,2,
23567,0139AAA102,14,0139A037,7/5/18 0:00,2,
23570,0139AAA102,15,0139A041,7/5/18 0:00,2,
23597,0139AAA102,16,0139A040,7/5/18 0:00,2,
23544,0139AAA103,1,0138B049補,7/5/18 0:00,1,
23447,0139AAA103,2,0138A014補,7/5/18 0:00,2,
23526,0139AAA103,3,0138B047補,7/5/18 0:00,2,
23535,0139AAA103,4,0138B043補,7/5/18 0:00,2,
23561,0139AAA103,5,0139A027,7/5/18 0:00,2,
23581,0139AAA103,6,0139A016,7/5/18 0:00,2,
23557,0139AAA103,7,0139A014,7/5/18 0:00,2,
23402,0139AAA103,8,0139A018,7/5/18 0:00,2,
23568,0139AAA103,9,0139A023,7/5/18 0:00,2,
23598,0139AAA103,10,0139A021,7/5/18 0:00,2,
23578,0139AAA103,11,0139A019,7/5/18 0:00,2,
23574,0139AAA103,12,0139A015,7/5/18 0:00,2,
23564,0139AAA103,13,0139A022,7/5/18 0:00,2,
23577,0139AAA103,14,0139A024,7/5/18 0:00,2,
23591,0139AAA103,15,0139A017,7/5/18 0:00,2,
23439,0139AAA104,1,0138A040補,7/5/18 0:00,1,
23543,0139AAA104,2,0138B059補,7/5/18 0:00,2,
23495,0139AAA104,3,0138B032補,7/5/18 0:00,2,
23481,0139AAA104,4,0138B025補,7/5/18 0:00,2,
23595,0139AAA104,5,0139A031,7/5/18 0:00,2,
23590,0139AAA104,6,0139A028,7/5/18 0:00,2,
23593,0139AAA104,7,0139A030,7/5/18 0:00,2,
23594,0139AAA104,8,0139A032,7/5/18 0:00,2,
23582,0139AAA104,9,0139A034,7/5/18 0:00,2,
23602,0139AAA104,10,0139A008,7/5/18 0:00,2,
23580,0139AAA104,11,0139A006,7/5/18 0:00,2,
23589,0139AAA104,12,0139A001,7/5/18 0:00,2,
23571,0139AAA104,13,0139A044,7/5/18 0:00,2,
23566,0139AAA104,14,0139A045,7/5/18 0:00,2,
23592,0139AAA104,15,0139A010,7/5/18 0:00,2,
23498,0139BAA101,1,0138B069補,7/18/18 0:00,1,
23526,0139BAA101,2,0138B047補,7/18/18 0:00,1,
23515,0139BAA101,3,0138B006補,7/18/18 0:00,2,
22701,0139BAA101,4,0130B099補,7/18/18 0:00,2,
23673,0139BAA101,5,0139B020,7/18/18 0:00,2,
23563,0139BAA101,6,0139A033補,7/18/18 0:00,2,
23587,0139BAA101,7,0139A012補,7/18/18 0:00,2,
23650,0139BAA101,8,0139B015,7/18/18 0:00,2,
23646,0139BAA101,9,0139B009,7/18/18 0:00,2,
23666,0139BAA101,10,0139B001,7/18/18 0:00,2,
23635,0139BAA101,11,0139B002,7/18/18 0:00,2,
23607,0139BAA101,12,0139B005,7/18/18 0:00,2,
23651,0139BAA101,13,0139B004,7/18/18 0:00,2,
23631,0139BAA101,14,0139B008,7/18/18 0:00,2,
23622,0139BAA101,15,0139B003,7/18/18 0:00,2,
23613,0139BAA101,16,0139B006,7/18/18 0:00,2,
23567,0139BAA102,1,0139A037補,7/18/18 0:00,1,
23482,0139BAA102,2,0138A032補,7/18/18 0:00,1,
23606,0139BAA102,3,0139A043補,7/18/18 0:00,2,
23658,0139BAA102,4,0139B049,7/18/18 0:00,2,
23552,0139BAA102,5,0139A046補,7/18/18 0:00,2,
23649,0139BAA102,6,0139B018,7/18/18 0:00,2,
23667,0139BAA102,7,0139B019,7/18/18 0:00,2,
23160,0139BAA102,8,0135B056補,7/18/18 0:00,2,
23488,0139BAA102,9,0138B058補,7/18/18 0:00,2,
23603,0139BAA102,10,0139B028,7/18/18 0:00,2,
23534,0139BAA102,11,0138B030補,7/18/18 0:00,2,
23619,0139BAA102,12,0139B027,7/18/18 0:00,2,
23636,0139BAA102,13,0139B022,7/18/18 0:00,2,
23640,0139BAA102,14,0139B024,7/18/18 0:00,2,
23642,0139BAA102,15,0139B026,7/18/18 0:00,2,
23555,0139BAA103,1,0139A026補,7/18/18 0:00,1,
23535,0139BAA103,2,0138B043補,7/18/18 0:00,1,
23503,0139BAA103,3,0138B022補,7/18/18 0:00,2,
23633,0139BAA103,4,0139B056,7/18/18 0:00,2,
23669,0139BAA103,5,0139B013,7/18/18 0:00,2,
23660,0139BAA103,6,0139B012,7/18/18 0:00,2,
23645,0139BAA103,7,0139B047,7/18/18 0:00,2,
23624,0139BAA103,8,0139B039,7/18/18 0:00,2,
23627,0139BAA103,9,0139B035,7/18/18 0:00,2,
23643,0139BAA103,10,0139B040,7/18/18 0:00,2,
23637,0139BAA103,11,0139B033,7/18/18 0:00,2,
23628,0139BAA103,12,0139B036,7/18/18 0:00,2,
23625,0139BAA103,13,0139B041,7/18/18 0:00,2,
23648,0139BAA103,14,0139B043,7/18/18 0:00,2,
23617,0139BAA103,15,0139B044,7/18/18 0:00,2,
23210,0139BAA104,1,0135B023補,7/18/18 0:00,1,
23597,0139BAA104,2,0139A040補,7/18/18 0:00,1,
23594,0139BAA104,3,0139A032補,7/18/18 0:00,2,
23672,0139BAA104,4,0139B021,7/18/18 0:00,2,
23662,0139BAA104,5,0139B017,7/18/18 0:00,2,
23664,0139BAA104,6,0139B016,7/18/18 0:00,2,
23638,0139BAA104,7,0139B048,7/18/18 0:00,2,
23103,0139BAA104,8,0139B046,7/18/18 0:00,2,
23663,0139BAA104,9,0139B038,7/18/18 0:00,2,
23611,0139BAA104,10,0139B042,7/18/18 0:00,2,
