流水號,序號,期別,補筆路,
1,11,022A,1,
2,13,022A,1,
3,320,022A,1,
4,318,022A,1,
5,29,022A,1,
6,319,022A,1,
7,316,022A,2,
8,322,022A,2,
9,6,022A,2,
10,326,022A,1,
11,168,022B,1,
13,69,022B,1,
14,52,022B,1,
15,166,022B,1,
16,164,022B,1,
17,183,022B,1,
18,163,022B,1,
19,82,022B,1,
20,184,022B,1,
21,432,022B,1,
22,160,022B,2,
23,67,022B,2,
24,141,022B,2,
25,100,022B,2,
26,103,022B,2,
27,73,022B,2,
28,79,022B,2,
29,134,022B,2,
30,157,022B,2,
31,88,022B,2,
32,161,022B,2,
33,175,022B,2,
34,70,022B,2,
35,179,022B,2,
36,185,022B,2,
37,314,022B,2,
38,329,022B,2,
39,317,022B,2,
40,122,023A,1,
41,171,023A,1,
42,282,023A,1,
43,213,023A,1,
44,272,023A,1,
45,309,023A,1,
46,341,023A,1,
47,284,023A,1,
48,252,023A,1,
49,290,023A,1,
50,139,023A,1,
51,52,023A,1,
52,203,023A,1,
53,330,023A,2,
54,302,023A,2,
55,245,023A,2,
56,334,023A,2,
57,337,023A,2,
58,329,023A,2,
59,179,023A,2,
60,271,023A,2,
61,292,023A,2,
62,342,023A,2,
63,230,023A,2,
64,111,023A,2,
65,544,023A,2,
66,312,023A,1,
67,268,023A,2,
68,575,023A,2,
69,288,023A,1,
70,93,023A,1,
71,320,023A,1,
72,256,023A,1,
73,323,023A,1,
74,68,023B,1,
75,418,023B,1,
76,405,023B,1,
77,404,023B,1,
78,341,023B,1,
79,394,023B,1,
80,387,023B,1,
81,430,023B,1,
82,390,023B,1,
83,389,023B,1,
84,657,023B,1,
85,391,023B,2,
86,111,023B,2,
87,354,023B,2,
88,179,023B,2,
89,309,023B,2,
90,372,023B,2,
91,373,023B,2,
92,417,023B,2,
93,331,023B,2,
94,658,023B,2,
95,410,023B,1,
96,129,023B,1,
97,667,023B,1,
98,523,024A,1,
99,472,024A,1,
100,442,024A,1,
101,512,024A,1,
102,446,024A,1,
103,510,024A,1,
105,526,024A,1,
106,525,024A,1,
107,459,024A,1,
108,492,024A,2,
109,658,024A,2,
110,530,024A,2,
111,477,024A,2,
112,389,024A,2,
113,464,024A,2,
114,451,024A,2,
115,447,024A,1,
116,484,024A,1,
117,925,024B,1,
118,926,024B,1,
119,404,024B,1,
120,573,024B,1,
121,612,024B,1,
122,637,024B,1,
123,627,024B,1,
124,649,024B,1,
125,618,024B,1,
126,638,024B,1,
127,601,024B,1,
128,571,024B,1,
129,523,024B,1,
130,389,024B,2,
131,604,024B,2,
132,641,024B,2,
133,658,024B,2,
134,557,024B,2,
135,563,024B,2,
136,579,024B,2,
137,655,024B,1,
138,574,024B,1,
139,319,024B,2,
140,709,025A,1,
141,739,025A,1,
142,731,025A,1,
143,655,025A,1,
144,716,025A,1,
145,752,025A,1,
146,627,025A,1,
147,638,025A,1,
148,743,025A,1,
149,571,025A,1,
150,772,025A,1,
151,674,025A,1,
152,778,025A,1,
153,926,025A,1,
154,707,025A,1,
155,192,025A,1,
156,609,025A,1,
157,1156,025A,2,
158,925,025A,2,
159,601,025A,2,
160,704,025A,2,
161,705,025A,2,
162,612,025A,2,
163,747,025A,2,
164,677,025A,2,
165,732,025A,2,
166,760,025A,2,
167,744,025A,2,
168,721,025A,2,
169,666,025A,2,
170,822,025B,1,
172,1325,025B,1,
173,1326,025B,1,
174,717,025B,1,
175,806,025B,1,
176,867,025B,1,
177,716,025B,1,
178,627,025B,1,
179,697,025B,2,
180,792,025B,2,
181,601,025B,2,
182,799,025B,2,
183,854,025B,2,
184,829,025B,2,
185,889,025B,2,
186,834,025B,2,
187,851,025B,2,
188,823,025B,1,
189,743,025B,1,
190,956,026A,1,
191,910,026A,1,
192,635,026A,1,
193,1417,026A,1,
194,1047,026A,1,
195,1078,026A,1,
196,1076,026A,1,
197,970,026A,1,
198,900,026A,1,
199,1071,026A,1,
200,762,026A,1,
202,741,026A,1,
203,697,026A,2,
204,834,026A,2,
205,930,026A,2,
