year,term,term_class_code,batch,training_type_code,training_type_name,start_date,end_date
100,070,10070A,A,1,普通小型車班,2011/10/11,2011/11/14
100,070,10070B,B,1,普通小型車班,2011/10/27,2011/11/30
101,078,10078A,A,1,普通小型車班,2012/7/17,2012/8/20
102,083,10083A,A,1,普通小型車班,2013/1/8,2013/2/11
102,083,10083B,B,1,普通小型車班,2013/1/24,2013/2/27
102,084,10084A,A,1,普通小型車班,2013/2/12,2013/3/18
102,084,10084B,B,1,普通小型車班,2013/2/28,2013/4/3
102,085,10085A,A,1,普通小型車班,2013/3/19,2013/4/22
102,085,10085B,B,1,普通小型車班,2013/4/4,2013/5/8
102,086,10086A,A,1,普通小型車班,2013/4/23,2013/5/27
102,086,10086B,B,1,普通小型車班,2013/5/9,2013/6/12
102,087,10087A,A,1,普通小型車班,2013/5/28,2013/7/1
102,087,10087B,B,1,普通小型車班,2013/6/13,2013/7/17
102,088,10088A,A,1,普通小型車班,2013/7/2,2013/8/5
102,088,10088B,B,1,普通小型車班,2013/7/18,2013/8/21
102,089,10089A,A,1,普通小型車班,2013/8/6,2013/9/9
102,089,10089B,B,1,普通小型車班,2013/8/22,2013/9/25
102,090,10090A,A,1,普通小型車班,2013/9/10,2013/10/14
102,090,10090B,B,1,普通小型車班,2013/9/26,2013/10/30
102,091,10091A,A,1,普通小型車班,2013/10/15,2013/11/18
102,091,10091B,B,1,普通小型車班,2013/10/31,2013/12/4
102,092,10092A,A,1,普通小型車班,2013/11/19,2013/12/23
102,092,10092B,B,1,普通小型車班,2013/12/5,2014/1/8
102,093,10093A,A,1,普通小型車班,2013/12/24,2014/1/27
103,093,10093B,B,1,普通小型車班,2014/1/9,2014/2/12
103,094,10094A,A,1,普通小型車班,2014/1/28,2014/3/3
103,094,10094B,B,1,普通小型車班,2014/2/13,2014/3/19
103,095,10095A,A,1,普通小型車班,2014/3/4,2014/4/7
103,095,10095B,B,1,普通小型車班,2014/3/20,2014/4/23
103,096,10096A,A,1,普通小型車班,2014/4/8,2014/5/12
103,096,10096B,B,1,普通小型車班,2014/4/24,2014/5/28
103,097,10097A,A,1,普通小型車班,2014/5/13,2014/6/16
103,097,10097B,B,1,普通小型車班,2014/5/29,2014/7/2
103,098,10098A,A,1,普通小型車班,2014/6/17,2014/7/21
103,098,10098B,B,1,普通小型車班,2014/7/3,2014/8/6
103,099,10099A,A,1,普通小型車班,2014/7/22,2014/8/25
103,099,10099B,B,1,普通小型車班,2014/8/7,2014/9/10
103,100,10100A,A,1,普通小型車班,2014/8/26,2014/9/29
103,100,10100B,B,1,普通小型車班,2014/9/11,2014/10/15
103,101,10101A,A,1,普通小型車班,2014/9/30,2014/11/3
103,101,10101B,B,1,普通小型車班,2014/10/16,2014/11/19
103,102,10102A,A,1,普通小型車班,2014/11/4,2014/12/8
103,102,10102B,B,1,普通小型車班,2014/11/20,2014/12/24
103,103,10103A,A,1,普通小型車班,2014/12/9,2015/1/12
103,103,10103B,B,1,普通小型車班,2014/12/25,2015/1/28
104,104,10104A,A,1,普通小型車班,2015/1/13,2015/2/16
104,104,10104B,B,1,普通小型車班,2015/1/29,2015/3/4
104,105,10105A,A,1,普通小型車班,2015/2/17,2015/3/23
104,105,10105B,B,1,普通小型車班,2015/3/5,2015/4/8
104,106,10106A,A,1,普通小型車班,2015/3/24,2015/4/27
104,106,10106B,B,1,普通小型車班,2015/4/9,2015/5/13
104,107,10107A,A,1,普通小型車班,2015/4/28,2015/6/1
104,107,10107B,B,1,普通小型車班,2015/5/14,2015/6/17
104,108,10108A,A,1,普通小型車班,2015/6/2,2015/7/6
104,108,10108B,B,1,普通小型車班,2015/6/18,2015/7/22
104,109,10109A,A,1,普通小型車班,2015/7/7,2015/8/10
104,109,10109B,B,1,普通小型車班,2015/7/23,2015/8/26
104,110,10110A,A,1,普通小型車班,2015/8/11,2015/9/14
104,110,10110B,B,1,普通小型車班,2015/8/27,2015/9/30
104,111,10111A,A,1,普通小型車班,2015/9/15,2015/10/19
104,111,10111B,B,1,普通小型車班,2015/10/1,2015/11/4
104,112,10112A,A,1,普通小型車班,2015/10/20,2015/11/23
104,112,10112B,B,1,普通小型車班,2015/11/5,2015/12/9
104,113,10113A,A,1,普通小型車班,2015/11/24,2015/12/28
104,113,10113B,B,1,普通小型車班,2015/12/10,2016/1/13
104,114,10114A,A,1,普通小型車班,2015/12/29,2016/2/1
105,114,10114B,B,1,普通小型車班,2016/1/14,2016/2/17
105,115,10115A,A,1,普通小型車班,2016/2/2,2016/3/7
105,115,10115B,B,1,普通小型車班,2016/2/18,2016/3/23
105,116,10116A,A,1,普通小型車班,2016/3/8,2016/4/11
105,116,10116B,B,1,普通小型車班,2016/3/24,2016/4/27
105,117,10117A,A,1,普通小型車班,2016/4/12,2016/5/16
105,117,10117B,B,1,普通小型車班,2016/4/28,2016/6/1
105,118,10118A,A,1,普通小型車班,2016/5/17,2016/6/20
105,118,10118B,B,1,普通小型車班,2016/6/2,2016/7/6
105,119,10119A,A,1,普通小型車班,2016/6/21,2016/7/25
105,119,10119B,B,1,普通小型車班,2016/7/7,2016/8/10
105,120,10120A,A,1,普通小型車班,2016/7/26,2016/8/29
105,120,10120B,B,1,普通小型車班,2016/8/11,2016/9/14
105,121,10121A,A,1,普通小型車班,2016/8/30,2016/10/3
105,121,10121B,B,1,普通小型車班,2016/9/15,2016/10/19
105,122,10122A,A,1,普通小型車班,2016/10/4,2016/11/7
105,122,10122B,B,1,普通小型車班,2016/10/20,2016/11/23
105,123,10123A,A,1,普通小型車班,2016/11/8,2016/12/12
105,123,10123B,B,1,普通小型車班,2016/11/24,2016/12/28
105,124,10124A,A,1,普通小型車班,2016/12/13,2017/1/16
105,124,10124B,B,1,普通小型車班,2016/12/29,2017/2/1
106,125,10125A,A,1,普通小型車班,2017/1/17,2017/2/20
106,125,10125B,B,1,普通小型車班,2017/2/2,2017/3/8
106,126,10126A,A,1,普通小型車班,2017/2/21,2017/3/27
106,126,10126B,B,1,普通小型車班,2017/3/9,2017/4/12
106,127,10127A,A,1,普通小型車班,2017/3/28,2017/5/1
106,127,10127B,B,1,普通小型車班,2017/4/13,2017/5/17
106,128,10128A,A,1,普通小型車班,2017/5/2,2017/6/5
106,128,10128B,B,1,普通小型車班,2017/5/18,2017/6/21
106,129,10129A,A,1,普通小型車班,2017/6/6,2017/7/10
106,129,10129B,B,1,普通小型車班,2017/6/22,2017/7/26
106,130,10130A,A,1,普通小型車班,2017/7/11,2017/8/14
106,130,10130B,B,1,普通小型車班,2017/7/27,2017/8/30
106,131,10131A,A,1,普通小型車班,2017/8/15,2017/9/18
106,131,10131B,B,1,普通小型車班,2017/8/31,2017/10/4
106,132,10132A,A,1,普通小型車班,2017/9/19,2017/10/23
106,132,10132B,B,1,普通小型車班,2017/10/5,2017/11/8
106,133,10133A,A,1,普通小型車班,2017/10/24,2017/11/27
106,133,10133B,B,1,普通小型車班,2017/11/9,2017/12/13
106,134,10134A,A,1,普通小型車班,2017/11/28,2018/1/1
106,134,10134B,B,1,普通小型車班,2017/12/14,2018/1/17
107,135,10135A,A,1,普通小型車班,2018/1/2,2018/2/5
107,135,10135B,B,1,普通小型車班,2018/1/18,2018/2/21
107,136,10136A,A,1,普通小型車班,2018/2/6,2018/3/12
107,136,10136B,B,1,普通小型車班,2018/2/22,2018/3/28
107,137,10137A,A,1,普通小型車班,2018/3/13,2018/4/16
107,137,10137B,B,1,普通小型車班,2018/3/29,2018/5/2
107,138,10138A,A,1,普通小型車班,2018/4/17,2018/5/21
107,138,10138B,B,1,普通小型車班,2018/5/3,2018/6/6
107,139,10139A,A,1,普通小型車班,2018/5/22,2018/6/25
107,139,10139B,B,1,普通小型車班,2018/6/7,2018/7/11
107,140,10140A,A,1,普通小型車班,2018/6/26,2018/7/30
107,140,10140B,B,1,普通小型車班,2018/7/12,2018/8/15
